"PENYERAH_PIUTANG","LOKASI","UMUR_BKPN","NILAI_SP3N","ADA_JAMINAN","POTENSI"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"117 - LPP TVRI","Luar Kota","<1th","50-300jt","Tidak ada","Potensial"
"024 - Kementerian Kesehatan","Luar Kota","<1th","8-50jt","Tidak ada","Tidak Potensial"
"015-04 - DJBC (Direktorat Jenderal Bea dan Cukai)","Dalam Kota",">10th","50-300jt","Tidak ada","Tidak Potensial"
"015-04 - DJBC (Direktorat Jenderal Bea dan Cukai)","Dalam Kota",">10th",">=1M","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Tidak Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"013 - Kementerian Hukum dan Hak Asasi Manusia","Luar Kota","1-5th","8-50jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","<1th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Luar Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","<8jt","Tidak ada","Potensial"
"059 - Kementerian Komunikasi dan Informatika","Dalam Kota","1-5th","8-50jt","Tidak ada","Tidak Potensial"
