PENYERAH_PIUTANG;LOKASI;TAHAP_SIMPEL;WAKTU;UTANG;"""PENYERAH_PIUTANG"",""LOKASI"",""TAHAP_SIMPEL"",""WAKTU"",""UTANG"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""<1th"",""<8jt"""
029 - Kementerian Kehutanan;Dalam Kota;Potensial;<1th;<8jt;"""029 - Kementerian Kehutanan"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;8-50jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""8-50jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Tidak Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Tidak Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;1-5th;8-50jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""1-5th"",""8-50jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Tidak Potensial;1-5th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Tidak Potensial"",""1-5th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Tidak Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Tidak Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Tidak Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Luar Kota;Potensial;<1th;<8jt;"""059 - Kementerian Komunikasi dan Informatika"",""Luar Kota"",""Potensial"",""<1th"",""<8jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;8-50jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""8-50jt"""
059 - Kementerian Komunikasi dan Informatika;Dalam Kota;Potensial;<1th;8-50jt;"""059 - Kementerian Komunikasi dan Informatika"",""Dalam Kota"",""Potensial"",""<1th"",""8-50jt"""
